datetime,AltitudSolar(°),Potencia(W),GHI(W/m²)
2025-01-01 00:00,-69.99,0.0,0.0
2025-01-01 00:30,-72.83,0.0,0.0
2025-01-01 01:00,-72.87,0.0,0.0
2025-01-01 01:30,-70.09,0.0,0.0
2025-01-01 02:00,-65.43,0.0,0.0
2025-01-01 02:30,-59.75,0.0,0.0
2025-01-01 03:00,-53.53,0.0,0.0
2025-01-01 03:30,-47.01,0.0,0.0
2025-01-01 04:00,-40.32,0.0,0.0
2025-01-01 04:30,-33.52,0.0,0.0
2025-01-01 05:00,-26.66,0.0,0.0
2025-01-01 05:30,-19.77,0.0,0.0
2025-01-01 06:00,-12.86,0.0,0.0
2025-01-01 06:30,-5.97,0.0,0.0
2025-01-01 07:00,0.9,0.52,0.2
2025-01-01 07:30,7.72,41.92,62.4
2025-01-01 08:00,14.48,112.26,204.3
2025-01-01 08:30,21.14,184.68,364.9
2025-01-01 09:00,27.67,253.86,524.4
2025-01-01 09:30,34.02,317.7,674.3
2025-01-01 10:00,40.11,374.81,809.8
2025-01-01 10:30,45.83,424.08,927.5
2025-01-01 11:00,51.02,464.61,1024.7
2025-01-01 11:30,55.42,495.69,1099.4
2025-01-01 12:00,58.7,516.76,1150.1
2025-01-01 12:30,60.5,527.46,1175.9
2025-01-01 13:00,60.52,527.6,1176.2
2025-01-01 13:30,58.77,517.18,1151.1
2025-01-01 14:00,55.52,496.38,1101.0
2025-01-01 14:30,51.15,465.56,1026.9
2025-01-01 15:00,45.98,425.27,930.3
2025-01-01 15:30,40.27,376.23,813.2
2025-01-01 16:00,34.19,319.32,678.1
2025-01-01 16:30,27.85,255.64,528.5
2025-01-01 17:00,21.32,186.58,369.2
2025-01-01 17:30,14.66,114.2,208.5
2025-01-01 18:00,7.9,43.65,65.6
2025-01-01 18:30,1.08,0.71,0.3
2025-01-01 19:00,-5.79,0.0,0.0
2025-01-01 19:30,-12.68,0.0,0.0
2025-01-01 20:00,-19.58,0.0,0.0
2025-01-01 20:30,-26.47,0.0,0.0
2025-01-01 21:00,-33.34,0.0,0.0
2025-01-01 21:30,-40.14,0.0,0.0
2025-01-01 22:00,-46.84,0.0,0.0
2025-01-01 22:30,-53.36,0.0,0.0
2025-01-01 23:00,-59.59,0.0,0.0
2025-01-01 23:30,-65.29,0.0,0.0
